"autonomous_system_number";"autonomous_system_organization"
127;"Jet Propulsion Laboratory"
131;"University of California, Santa Barbara"
132;"754th Electronic Systems Group"
137;"Consortium GARR"
138;"DoD Network Information Center"
140;"DoD Network Information Center"
144;"Lucent Technologies/Bell Laboratories"
145;"MCI Communications Corporation"
147;"DoD Network Information Center"
149;"DoD Network Information Center"
151;"Hewlett-Packard Company"
153;"Headquarters, USAISC"
154;"Headquarters, USAISC"
156;"Northeastern University"
157;"Silicon Graphics International Corp."
158;"Ericsson Network Systems, Inc."
159;"The Ohio State University"
160;"University of Chicago"
161;"Texas Instruments, Inc."
166;"Institute for Defense Analyses"
167;"Wesleyan University"
173;"Electrical Communications Laboratories"
174;"Cogent Communications"
186;"The Catholic University of America"
187;"DNScast"
188;"SAIC"
190;"Navy Network Information Center (NNIC)"
194;"University Corporation for Atmospheric Research"
195;"San Diego Supercomputer Center"
196;"The Boeing Company"
200;"Level 3 Parent, LLC"
202;"Level 3 Parent, LLC"
205;"Montclair State University"
206;"Computer Sciences Corporation"
209;"Qwest Communications Company, LLC"
210;"Utah Education Network"
213;"Headquarters, USAISC"
217;"University of Minnesota"
224;"UNINETT AS"
225;"University of Virginia"
226;"Los Nettos"
228;"DoD Network Information Center"
229;"Merit Network Inc."
231;"Merit Network Inc."
234;"Blackrose Society"
237;"Merit Network Inc."
239;"University of Toronto"
243;"Harris Government Systems Sector"
246;"754th Electronic Systems Group"
250;"AS250.net Foundation"
251;"Denis Klimek"
252;"Headquarters, USAISC"
257;"Navy Network Information Center (NNIC)"
260;"Xconnect24 Inc."
262;"NTT America, Inc."
264;"SRI International"
267;"Nether.Net"
270;"National Aeronautics and Space Administration"
271;"BCnet"
272;"Headquarters, USAISC"
273;"DoD Network Information Center"
276;"University of Texas System"
278;"Universidad Nacional Autonoma de Mexico"
283;"MPower Labs, Inc."
286;"KPN B.V."
288;"European Space Agency (ESA)"
289;"Headquarters, USAISC"
291;"ESnet"
292;"ESnet"
293;"ESnet"
295;"DoD Network Information Center"
297;"National Aeronautics and Space Administration"
299;"University of California, Irvine"
300;"DoD Network Information Center"
302;"Baylor College of Medicine"
306;"DoD Network Information Center"
307;"DoD Network Information Center"
309;"DoD Network Information Center"
310;"DoD Network Information Center"
311;"DoD Network Information Center"
312;"DoD Network Information Center"
313;"DoD Network Information Center"
316;"DoD Network Information Center"
317;"DoD Network Information Center"
319;"DoD Network Information Center"
320;"DoD Network Information Center"
321;"DoD Network Information Center"
322;"DoD Network Information Center"
323;"DoD Network Information Center"
324;"DoD Network Information Center"
326;"DoD Network Information Center"
328;"DoD Network Information Center"
329;"DoD Network Information Center"
331;"DoD Network Information Center"
332;"DoD Network Information Center"
333;"DoD Network Information Center"
334;"DoD Network Information Center"
335;"DoD Network Information Center"
336;"DoD Network Information Center"
337;"DoD Network Information Center"
338;"DoD Network Information Center"
339;"DoD Network Information Center"
340;"DoD Network Information Center"
341;"DoD Network Information Center"
342;"DoD Network Information Center"
343;"DoD Network Information Center"
344;"DoD Network Information Center"
345;"DoD Network Information Center"
346;"DoD Network Information Center"
347;"DoD Network Information Center"
348;"DoD Network Information Center"
349;"DoD Network Information Center"
350;"DoD Network Information Center"
351;"DoD Network Information Center"
352;"DoD Network Information Center"
353;"DoD Network Information Center"
355;"DoD Network Information Center"
356;"DoD Network Information Center"
357;"DoD Network Information Center"
358;"DoD Network Information Center"
360;"DoD Network Information Center"
361;"DoD Network Information Center"
362;"DoD Network Information Center"
364;"DoD Network Information Center"
365;"DoD Network Information Center"
366;"DoD Network Information Center"
367;"DoD Network Information Center"
368;"DoD Network Information Center"
369;"DoD Network Information Center"
370;"DoD Network Information Center"
371;"DoD Network Information Center"
372;"National Aeronautics and Space Administration"
375;"Tieto Oyj"
376;"Reseau d'informations scientifiques du Quebec (RISQ)"
377;"Sandia National Laboratories"
378;"Israel InterUniversity Computation Center"
381;"754th Electronic Systems Group"
383;"754th Electronic Systems Group"
385;"754th Electronic Systems Group"
386;"754th Electronic Systems Group"
387;"754th Electronic Systems Group"
390;"754th Electronic Systems Group"
391;"754th Electronic Systems Group"
395;"754th Electronic Systems Group"
399;"754th Electronic Systems Group"
400;"754th Electronic Systems Group"
409;"754th Electronic Systems Group"
427;"754th Electronic Systems Group"
444;"754th Electronic Systems Group"
450;"754th Electronic Systems Group"
466;"754th Electronic Systems Group"
491;"754th Electronic Systems Group"
492;"754th Electronic Systems Group"
495;"754th Electronic Systems Group"
497;"754th Electronic Systems Group"
510;"Voya Investment Management LLC"
513;"European Organization for Nuclear Research"
517;"KPN B.V."
518;"DoD Network Information Center"
523;"Headquarters, USAISC"
527;"DoD Network Information Center"
531;"Headquarters, USAISC"
542;"Alberta Research Council"
543;"Hewlett-Packard Company"
545;"Corporation for National Research Initiatives"
546;"Parsons Corporation"
547;"IBM"
549;"GTAnet Networking"
552;"DoD Network Information Center"
553;"Universitaet Stuttgart"
555;"Velocity Technology Solutions II, Inc."
557;"University of Maine System"
558;"NV Next LLC"
559;"SWITCH"
564;"DoD Network Information Center"
565;"Technical Research Centre of Finland"
566;"Shared Services Canada"
571;"DoD Network Information Center"
572;"Greater Baltimore Medical Center Inc"
577;"Bell Canada"
578;"Packaging Dynamics"
589;"University of North Texas"
598;"Level 3 Parent, LLC"
600;"OARnet"
603;"Bell Canada"
605;"Vanguard Health Management, Inc."
606;"schat.net"
607;"Nico Holdings LLC"
609;"Ernst & Young LLP"
611;"University of Toronto"
613;"BP America, Inc."
615;"Headquarters, USAISC"
616;"DoD Network Information Center"
619;"DoD Network Information Center"
627;"DoD Network Information Center"
637;"DoD Network Information Center"
647;"DoD Network Information Center"
664;"DoD Network Information Center"
665;"DoD Network Information Center"
668;"DoD Network Information Center"
670;"Headquarters, USAISC"
671;"Headquarters, USAISC"
672;"Headquarters, USAISC"
673;"Headquarters, USAISC"
675;"Minnesota State Colleges and Universities"
676;"United Nations Development Programme"
679;"Technische Universitat Wien"
680;"Verein zur Foerderung eines Deutschen Forschungsnetzes e.V."
681;"The University of Waikato"
683;"Argonne National Lab"
684;"MTS Inc."
687;"DoD Network Information Center"
688;"Department of Interior"
693;"University of Notre Dame"
698;"University of Illinois at Urbana-Champaign"
699;"KANOBE INC"
701;"MCI Communications Services, Inc. d/b/a Verizon Business"
702;"MCI Communications Services, Inc. d/b/a Verizon Business"
703;"MCI Communications Services, Inc. d/b/a Verizon Business"
705;"MCI Communications Services, Inc. d/b/a Verizon Business"
706;"Advanced Workstations Division, IBM Corporation"
714;"Apple Inc."
715;"WoodyNet"
719;"Elisa Oyj"
721;"DoD Network Information Center"
722;"DoD Network Information Center"
724;"DoD Network Information Center"
745;"754th Electronic Systems Group"
747;"Headquarters, USAISC"
760;"Vienna University Computer Center"
763;"IBM"
764;"Prime Minister's Office"
766;"Entidad Publica Empresarial Red.es"
768;"Navy Network Information Center (NNIC)"
771;"National Aeronautics and Space Administration"
773;"Parsons Corporation"
775;"Renater"
776;"Renater"
777;"CEA-Saclay"
781;"Renater"
784;"Henry M. Jackson Foundation for The Advancement of Military Medicine"
786;"Jisc Services Limited"
789;"Renater"
790;"Elisa Oyj"
792;"Oracle Corporation"
797;"AT&T Services, Inc."
801;"AtTask, Inc"
802;"York University"
803;"Saskatchewan Telecommunications"
806;"Shared Services Canada"
808;"GONET"
812;"Rogers Communications Canada Inc."
813;"MCI Communications Services, Inc. d/b/a Verizon Business"
818;"Department of Communications"
819;"LARG*net"
820;"Shared Services Canada"
822;"St. Joseph's Health Care, London"
823;"The University of Western Ontario"
825;"Canadian Forces Weather Services"
837;"Shared Services Canada"
841;"Canadian Research Network"
852;"TELUS Communications Inc."
855;"Bell Canada"
940;"GONET"
1000;"GONET"
1013;"GONET"
1075;"GONET"
1101;"SURFnet bv"
1102;"SURFnet bv"
1103;"SURFnet bv"
1104;"Stichting Nederlandse Wetenschappelijk Onderzoek Instituten"
1109;"University of Salzburg"
1110;"University of Innsbruck"
1111;"Universitaet Klagenfurt"
1112;"Montanuniversitaet Leoben"
1113;"Technische Universitaet Graz"
1114;"Universitaet Graz"
1115;"Austrian Academy of Sciences"
1117;"Universitaet fuer Bodenkultur, Wien"
1120;"ACONET"
1124;"Universiteit van Amsterdam"
1125;"SURFnet bv"
1126;"VANCIS Vancis Advanced ICT Services"
1128;"SURFnet bv"
1132;"SURFnet bv"
1133;"SURFnet bv"
1134;"KPN B.V."
1136;"KPN B.V."
1140;"Stichting Internet Domeinregistratie Nederland"
1142;"SURFnet bv"
1145;"SURFnet bv"
1146;"SURFnet bv"
1147;"SURFnet bv"
1161;"SURFnet bv"
1197;"Network Ability Limited"
1200;"Amsterdam Internet Exchange B.V."
1201;"Old Dominion University"
1204;"State University of New York, Central"
1205;"University Linz"
1206;"Pittsburgh Supercomputing Center"
1207;"Pittsburgh Supercomputing Center"
1208;"DoD Network Information Center"
1213;"HEAnet Limited"
1215;"Oracle Corporation"
1216;"Oracle Corporation"
1217;"Oracle Corporation"
1219;"Oracle Corporation"
1221;"Telstra Pty Ltd"
1222;"EL PASO COMMUNITY COLLEGE"
1224;"National Center for Supercomputing Applications"
1226;"California Technology Agency"
1234;"Fortum"
1236;"General Dynamics C4 Systems, Inc."
1237;"KISTI"
1239;"Sprint"
1241;"Forthnet"
1246;"Zito Media"
1248;"HERE Global BV"
1249;"Five Colleges Network"
1251;"FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO"
1252;"University of Nebraska Medical Center"
1254;"National Aeronautics and Space Administration"
1256;"Massachusetts Education Computer Network"
1257;"TELE2"
1258;"XKL, LLC"
1261;"National Instruments Corporation"
1267;"Wind Telecomunicazioni SpA"
1273;"CW Vodafone Group PLC"
1277;"vXchnge Operating, LLC"
1280;"Internet Systems Consortium, Inc."
1286;"Altay Corporation"
1287;"Professional Education Institute"
1289;"Colgate University"
1290;"Telstra Europe Ltd"
1293;"Hewlett-Packard Company"
1294;"Dell Systems Corporation"
1299;"Telia Company AB"
1301;"Electricite de France Service National"
1303;"Renater"
1307;"Renater"
1311;"BARRA"
1312;"Virginia Polytechnic Institute and State Univ."
1313;"Adobe Systems Inc."
1315;"Imperial PFS"
1321;"Advanced Networks & Services Inc."
1323;"Advanced Networks & Services Inc."
1325;"Advanced Networks & Services Inc."
1326;"Advanced Networks & Services Inc."
1331;"Advanced Networks & Services Inc."
1337;"Advanced Networks & Services Inc."
1339;"Advanced Networks & Services Inc."
1341;"Allen-Bradley Company, Inc."
1342;"Fujitsu Invia Finland IP-network"
1343;"Cisco Systems Cloud Division"
1347;"Onvoy"
1348;"California Department of Transportation"
1350;"Sears Technology Services Incorporated"
1351;"University of Vermont"
1355;"AbelsonTaylor, Inc."
1358;"Hughes Network Systems, Inc."
1378;"Interbel Telephone Cooperative, Inc."
1379;"Sybase 365, Inc"
1380;"McVEAN Trading & Investments, LLC"
1382;"Advanced Networks & Services Inc."
1395;"Advanced Networks & Services Inc."
1397;"ThinkTech, Inc"
1399;"ThinkTech, Inc"
1401;"DSW Information Technology LLC."
1403;"EBOX"
1405;"LION APPAREL"
1406;"Motorola Inc"
1407;"Quotemedia"
1409;"Catapulsion LLC"
1410;"SMITH BAGLEY INC"
1411;"Christopher Newport University"
1412;"Gravity Interactive, Inc."
1414;"Genuine Parts Company"
1415;"Christus Health"
1416;"Chicago Public Schools"
1418;"MATE1.COM, INC."
1419;"Selerity Financial, Inc."
1420;"STL OFFICE SOLUTIONS, INC."
1421;"WANSecurity, Inc."
1422;"Media6degrees"
1423;"Carson Communications, LLC"
1426;"Lightwave Networking, LLC"
1427;"Alion Science and Technology Corporation"
1428;"DRW Holdings, LLC"
1429;"FriendFinder Networks Inc"
1430;"Board of Bar Overseers"
1432;"Albion College"
1434;"DW Partners, LP"
1435;"100 NWT Fee Owner LP"
1436;"Meridian Health System"
1437;"Visonex LLC"
1438;"PIONEER STATE MUTUAL INSURANCE CO."
1439;"Spring Branch Independent School District"
1440;"Alford Media Services, Inc."
1442;"SureHosting Internet Solutions, Inc."
1443;"CooperVision, Inc."
1444;"Virtual Care Provider, Inc."
1445;"Milliman, Inc."
1446;"Tutor Perini Corporation"
1447;"Chipotle Mexican Grill, INC"
1449;"PayPal, Inc."
1451;"Headquarters, USAISC"
1452;"Headquarters, USAISC"
1453;"Headquarters, USAISC"
1456;"Headquarters, USAISC"
1457;"Headquarters, USAISC"
1458;"Headquarters, USAISC"
1460;"Headquarters, USAISC"
1461;"Headquarters, USAISC"
1462;"Headquarters, USAISC"
1463;"Headquarters, USAISC"
1464;"Headquarters, USAISC"
1466;"Headquarters, USAISC"
1467;"Headquarters, USAISC"
1468;"Headquarters, USAISC"
1471;"Headquarters, USAISC"
1472;"Headquarters, USAISC"
1474;"Headquarters, USAISC"
1475;"Headquarters, USAISC"
1476;"Headquarters, USAISC"
1477;"Headquarters, USAISC"
1479;"Headquarters, USAISC"
1480;"Headquarters, USAISC"
1482;"Headquarters, USAISC"
1483;"Headquarters, USAISC"
1484;"Headquarters, USAISC"
1488;"Headquarters, USAISC"
1489;"Headquarters, USAISC"
1491;"Headquarters, USAISC"
1494;"Headquarters, USAISC"
1495;"Headquarters, USAISC"
1498;"Headquarters, USAISC"
1500;"Headquarters, USAISC"
1501;"Headquarters, USAISC"
1502;"Headquarters, USAISC"
1503;"Headquarters, USAISC"
1504;"Headquarters, USAISC"
1505;"Headquarters, USAISC"
1506;"Headquarters, USAISC"
1508;"Headquarters, USAISC"
1509;"Headquarters, USAISC"
1510;"Headquarters, USAISC"
1511;"Headquarters, USAISC"
1515;"Headquarters, USAISC"
1516;"Headquarters, USAISC"
1518;"Headquarters, USAISC"
1519;"Headquarters, USAISC"
1524;"Headquarters, USAISC"
1525;"Headquarters, USAISC"
1526;"Headquarters, USAISC"
1528;"Headquarters, USAISC"
1531;"Headquarters, USAISC"
1533;"Headquarters, USAISC"
1535;"Headquarters, USAISC"
1536;"Headquarters, USAISC"
1537;"Headquarters, USAISC"
1541;"Headquarters, USAISC"
1547;"JSCC Interdnestrcom"
1551;"DoD Network Information Center"
1553;"DoD Network Information Center"
1554;"DoD Network Information Center"
1555;"DoD Network Information Center"
1556;"DoD Network Information Center"
1559;"DoD Network Information Center"
1562;"DoD Network Information Center"
1563;"DoD Network Information Center"
1565;"DoD Network Information Center"
1567;"DoD Network Information Center"
1568;"DoD Network Information Center"
1569;"DoD Network Information Center"
1580;"DoD Network Information Center"
1585;"DoD Network Information Center"
1586;"DoD Network Information Center"
1590;"DoD Network Information Center"
1591;"DoD Network Information Center"
1598;"DoD Network Information Center"
1599;"DoD Network Information Center"
1600;"DoD Network Information Center"
1602;"Headquarters, USAISC"
1603;"Henderson State University"
1605;"Allegiant Travel Company"
1606;"Excelenet, Inc"
1608;"ITG INC"
1609;"Global Imaging Systems Inc"
1610;"Contegix"
1612;"Flux Telecom, LLC"
1614;"IOWA STUDENT LOAN LIQUIDITY CORP."
1615;"Exelixis Inc."
1616;"CoreLink Data Centers"
1617;"Jacobs Levy Equity Management, Inc."
1618;"Daytona Net Works, Inc."
1620;"doelegal llc"
1621;"Securian Financial Group, Inc."
1622;"NCH Capital Inc."
1624;"SITA Information Networking Computing Canada Ltd"
1625;"CoreSpace, Inc."
1628;"Community DNS Ltd."
1629;"Rose Associates, Inc"
1632;"SONIC HEALTHCARE USA, INC."
1633;"353233 Alberta LTD"
1635;"Weidenhammer"
1637;"Headquarters, USAISC"
1638;"Mott Community College"
1640;"Thacker-Grigsby Communications"
1641;"Staples Contract & Commercial, Inc."
1642;"Colorcon Inc"
1643;"Brockway Television Inc."
1645;"PACHEZ HOLDINGS LTD."
1646;"American Solutions for Business"
1647;"Interop Technologies"
1648;"Jefferson Parish School Board"
1649;"Headquarters, USAISC"
1650;"Cambridge Public Schools"
1651;"Cablelynx"
1652;"MIDFLORIDA Federal Credit Union"
1653;"SUNET SUNET Swedish University Network"
1654;"SKOGEN Skogen Network"
1657;"University of Louisville"
1659;"Taiwan Academic Network (TANet) Information Center"
1661;"ANS Communications"
1663;"BERTELSMANN Bertelsmann AG"
1668;"AOL Transit Data Network"
1672;"ANS Communications"
1675;"ANS Communications"
1676;"American Standard, Inc."
1678;"The Dow Chemical Company"
1680;"013 NetVision Ltd"
1685;"ANS Communications"
1689;"ANS Communications"
1696;"Citigroup"
1698;"AT&T Internet Services"
1699;"ANS Communications"
1700;"Rice University"
1701;"National Aeronautics and Space Administration"
1702;"CHICAGO STATE UNIVERSITY"
1704;"Korea Advanced Institute of Science and Technology"
1705;"Hewlett-Packard Company"
1706;"University of Arizona"
1709;"Renater"
1712;"Renater"
1715;"Renater"
1723;"Renater"
1724;"Renater"
1725;"Renater"
1729;"Telia Company AB"
1730;"Rexall Pharmacy Group Ltd."
1731;"Warner Pacific Insurance Services Inc."
1733;"DoD Network Information Center"
1734;"Contra Costa County Regional Occupation Program / Richmond"
1736;"Marquette University"
1738;"OP Palvelut Oy"
1739;"TUTNET TUT Autonomous System"
1741;"Tieteen tietotekniikan keskus Oy"
1742;"Harvard University"
1746;"Data Research Associates, Inc."
1747;"IBM T.J. Watson Research Center"
1749;"National Aeronautics and Space Administration"
1751;"Lexmark International Inc."
1754;"Deutsches Elektronen-Synchrotron DESY"
1756;"Shiraz Hamyar Co."
1757;"LexisNexis"
1759;"Telia Finland Oyj"
1761;"General Services Commission"
1764;"Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH"
1766;"Exxon Mobil Corporation"
1767;"Indiana Higher Education Telecommunication System"
1770;"Ringstad Consulting ENK"
1771;"X.25 Holding AS"
1772;"Navy Network Information Center (NNIC)"
1776;"WU (Wirtschaftsuniversitaet Wien) - Vienna University of Economics and Business"
1777;"Saint Xavier University"
1778;"DoD Network Information Center"
1781;"Korea Advanced Institute of Science and Technology"
1786;"IBM"
1787;"Thomson Reuters U.S. LLC"
1789;"Sprint Government Systems Division"
1790;"Sprint Government Systems Division"
1796;"Graded Labs, LLC"
1797;"Uruguay"
1798;"State of Oregon"
1803;"Sprint"
1811;"Computer Sciences Corporation"
1813;"Computer Sciences Corporation"
1814;"Computer Sciences Corporation"
1815;"Computer Sciences Corporation"
1818;"DIALOG TELECOMMUNICATIONS, INC."
1819;"DCM Cable Inc."
1821;"Network Innovations Inc."
1823;"Hannah Motor Company"
1824;"Vertisoft"
1825;"SetClear Pte. Ltd."
1826;"University of Arkansas-Fort Smith"
1827;"Manatee County Government"
1828;"Unitas Global LLC"
1830;"Gulf Coast State College"
1831;"ITESO, A.C."
1832;"Southern Methodist University"
1835;"Danish network for Research and Education"
1836;"green.ch AG"
1837;"NCIA NATO Communications and Information Agency"
1840;"Universidad de Las Americas-Puebla"
1842;"United States Geological Survey"
1843;"National Aeronautics and Space Administration"
1848;"National Aeronautics and Space Administration"
1850;"Internet a Islandi hf"
1851;"The University of Adelaide"
1852;"University of California - Office of the President"
1853;"ACONET"
1873;"Hewlett-Packard Company"
1874;"Hewlett-Packard Company"
1878;"Svensk Teleutveckling & Produktinnovation, STUPI AB"
1879;"Svensk Teleutveckling & Produktinnovation, STUPI AB"
1880;"Svensk Teleutveckling & Produktinnovation, STUPI AB"
1881;"FMV"
1882;"Svensk Teleutveckling & Produktinnovation, STUPI AB"
1883;"Svensk Teleutveckling & Produktinnovation, STUPI AB"
1886;"BT NET d.o.o. za trgovinu i usluge"
1887;"Naukowa I Akademicka Siec Komputerowa Instytut Badawczy"
1888;"Stichting Centrum voor Wiskunde en Informatica"
1889;"Hewlett Packard Europe S.A.S."
1898;"Torsten Blum"
1901;"A1 Telekom Austria AG"
1902;"Deutsche Telekom Pan-Net s.r.o."
1904;"DoD Network Information Center"
1906;"Northrop Grumman"
1913;"DoD Network Information Center"
1916;"Associação Rede Nacional de Ensino e Pesquisa"
1921;"NICAT NIC.at head office Salzburg"
1929;"University of Massachusetts"
1930;"Fundacao para a Ciencia e a Tecnologia, I.P."
1931;"Hewlett-Packard Company"
1932;"Consolidated Edison Co. of New York, Inc."
1935;"Renater"
1938;"Renater"
1942;"Renater"
1945;"Renater"
1955;"KIFU (Governmental Info Tech Development Agency)"
1956;"IBM"
1959;"DoD Network Information Center"
1965;"Vistra Corporate Services Company"
1967;"Middle East Technical University / Orta Dogu Teknik Universitesi"
1968;"University of Massachusettes"
1970;"Texas A&M University"
1972;"USC/ISI"
1974;"Southern Maine Medical Center"
1975;"PROQUEST LLC"
1982;"Northwest Nexus Inc."
1996;"Fairdinkum Consulting, LLC"
1998;"State of Minnesota"
1999;"U.S. House of Representatives"
2000;"Internet Awareness, Inc."
2003;"Electric Power Research Institute"
2011;"Wachovia Operational Services Corporation"
2012;"ELTENET ELTENET"
2013;"PG&E"
2015;"Msen, Inc."
2018;"Tertiary Education and Research Network of South Africa"
2020;"Adhesives Research, Inc."
2021;"UNISYS"
2024;"Eversource Energy"
2025;"University of Toledo"
2027;"Medecins Sans Frontieres"
2030;"The Boeing Company"
2031;"St. Louis County Water Company"
2033;"Panix Network Information Center"
2036;"JOANNEUM JOANNEUM RESEARCH"
2037;"California State University at Fresno"
2043;"KPN B.V."
2044;"Infinity Internet, Inc."
2046;"DoD Network Information Center"
2047;"La Roche Ltd."
2048;"State of Louisiana Office of Telecommunications Management"
2055;"Louisiana State University"
2060;"Renater"
2065;"Renater"
2072;"Renater"
2088;"Renater"
2089;"Renater"
2094;"Renater"
2103;"Renater"
2107;"ARNES"
2108;"Croatian Academic and Research Network"
2109;"Tele Danmark"
2110;"BT Communications Ireland Limited"
2111;"SkyNet Group Ltd."
2114;"Escuelas De Estudios Superiores Esic Sacerdotes Del Corazon De Jesus Padres Reparadores"
2115;"OPEGIEKA Sp. z o.o."
2116;"Broadnet AS"
2118;"Llcrelcom"
2119;"Telenor Norge AS"
2121;"Reseaux IP Europeens Network Coordination Centre (RIPE NCC)"
2128;"Internet Neutral Exchange Association Limited"
2129;"EntServ UK Limited"
2134;"Produban Servicios Informaticos Generales, S.L."
2140;"IBM Corporation"
2143;"National Aeronautics and Space Administration"
2147;"The Press Association Ltd"
2148;"ITEP A.I.Alikhanov Institute"
2149;"Cogent Communications"
2152;"California State University, Office of the Chancellor"
2153;"California State University, Office of the Chancellor"
2154;"Hewlett-Packard Company"
2156;"Hewlett-Packard Company"
2158;"Hewlett-Packard Company"
2159;"Hewlett-Packard Company"
2161;"Hewlett-Packard Company"
2162;"Hewlett-Packard Company"
2164;"Hewlett-Packard Company"
2166;"Hewlett-Packard Company"
2167;"Hewlett-Packard Company"
2173;"Hewlett-Packard Company"
2187;"Renater"
2198;"Renater"
2199;"Renater"
2200;"Renater"
2202;"Renater"
2222;"Renater"
2259;"Renater"
2263;"Renater"
2269;"Renater"
2274;"Congressional Budget Office"
2278;"Orange"
2280;"Orange"
2300;"Orange"
2345;"Orange"
2366;"Orange"
2379;"Embarq Corporation"
2381;"WiscNet"
2384;"Architect of the Capitol"
2386;"AT&T Data Communications Services"
2418;"Renater"
2426;"Renater"
2439;"Renater"
2445;"Renater"
2450;"Renater"
2457;"Renater"
2470;"Renater"
2471;"Renater"
2472;"Renater"
2484;"AFNIC (Association Francaise pour le Nommage Internet en Cooperation)"
2485;"AFNIC (Association Francaise pour le Nommage Internet en Cooperation)"
2486;"AFNIC (Association Francaise pour le Nommage Internet en Cooperation)"
2488;"International Institute for Applied Systems Analysis"
2494;"MUWNET MUWNET Autonomous System"
2495;"Kansas Research and Education Network"
2496;"University of Kansas"
2497;"Internet Initiative Japan Inc."
2500;"WIDE Project"
2501;"The University of Tokyo"
2504;"Kyoto University"
2505;"High Energy Accelerator Research Organization, KEK"
2506;"NTT WEST CHUGOKU CORPORATION"
2508;"Kyushu University"
2510;"FUJITSU LIMITED"
2511;"NTT"
2512;"TCP Inc."
2513;"Japan Science and Technology Agency"
2514;"NTT PC Communications, Inc."
2515;"Japan Network Information Center"
2516;"KDDI CORPORATION"
2518;"BIGLOBE Inc."
2519;"ARTERIA Networks Corporation"
2523;"JSPS 163rd Committee on Internet Technology"
2526;"E-Platform Promotion Office. IT Services Division. HITACHI,Ltd."
2527;"So-net Entertainment Corporation"
2529;"Now maintained by Cable & Wireless Worldwide"
2532;"Library of Congress"
2534;"Hoffmann LaRoche, Inc."
2535;"BP America, Inc."
2539;"GlaxoSmithKline"
2541;"Gheorghiu Enterprises OU"
2544;"King County Gov"
2546;"National Center of Scientific Research DEMOKRITOS"
2547;"BME"
2549;"Universidad de Guadalajara"
2551;"Level 3 Parent, LLC"
2552;"Washington University"
2553;"Florida State University"
2554;"Yahoo Japan Corporation"
2559;"Visa International"
2560;"IBM"
2561;"EUN"
2563;"Seoul Christain University"
2567;"Schlumberger Limited"
2568;"Digicom Technologies Inc."
2570;"Spark New Zealand Trading Ltd"
2571;"DHL Information Services (Europe) s.r.o"
2572;"University of Missouri - dba the Missouri Research and Education Network (MOREnet)"
2575;"Salt River Project Agricultural Improvement & Power District"
2576;"U. S. Department of Transportation"
2578;"Demos, Moscow, Russia"
2579;"Alcatel-Lucent"
2583;"Affinity Development Group"
2585;"Optic Telecom LLC"
2586;"Elisa Eesti AS"
2587;"OOO FREEnet Group"
2588;"LATNET SERVISS Ltd."
2589;"Wanstor Ltd"
2590;"Data Techno Park Sp. z o. o."
2591;"Impletec Technologies Ltd"
2592;"Ege University"
2593;"Universita di Padova"
2594;"CSI Piemonte"
2595;"CSP s.c. a r.l."
